task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	sample_id	sra_bytes
922	3390695.pbs02	fastq_dump	ERX1659463	fastq_dump (ERX1659463)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629987316538	1629987327796	1629987612565	296027	284439		44.6	0.2	64516096.0	181903360.0	64819200.0	244015104.0	917465675.0	7110641017.0	5551.0	54368.0	932134889.0	7110638706.0	383334.0	4002.0	/scratch1/btsheal/work/9b/605a658b750740ecf8480d05b51fc3			ERX1659463	914950062
2117	3392516.pbs02	fastq_dump	SRX2752569	fastq_dump (SRX2752569)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629991906228	1629991912933	1629991997967	91739	82456		58.4	0.2	66859008.0	183246848.0	69734400.0	244936704.0	189178375.0	1906926037.0	2396.0	14667.0	203847400.0	1906923712.0	117152.0	578.0	/scratch1/btsheal/work/9b/8f232f3457208dd958beaeea51fbb0			SRX2752569	186649332
923	3390696.pbs02	fastq_dump	DRX014494	fastq_dump (DRX014494)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629987320994	1629987327804	1629987562561	241567	229339		60.3	0.2	63229952.0	181252096.0	63438848.0	242405376.0	1504075195.0	8531306395.0	9685.0	65207.0	1518748331.0	8531304074.0	549112.0	2409.0	/scratch1/btsheal/work/9c/16057884230f55c8c80eb0256c0e28			DRX014494	1501574818
8124	3400837.pbs02	fastq_dump	SRX853403	fastq_dump (SRX853403)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630014741875	1630014863748	1630015416848	674973	551146		64.4	0.3	46428160.0	163848192.0	46698496.0	229109760.0	2888304150.0	12710266480.0	172428.0	97091.0	2902978448.0	12710264152.0	1311527.0	3151.0	/scratch1/btsheal/work/9c/b356c9b24c15c4f408c6dcac175f81			SRX853403	2.88647e+09
2511	3392918.pbs02	fastq_dump	SRX2539484	fastq_dump (SRX2539484)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629993411599	1629993421065	1629993855802	444203	431344		54.3	0.2	62222336.0	179847168.0	62406656.0	243277824.0	2097312245.0	16310544359.0	15666.0	124558.0	2111981263.0	16310542026.0	1012710.0	1952.0	/scratch1/btsheal/work/9d/07c87953143c42d091f895780a6f68			SRX2539484	2094836482
7981	3400195.pbs02	fastq_dump	SRX4317789	fastq_dump (SRX4317789)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630014250886	1630014262349	1630015081788	830902	808554		36.8	0.1	45346816.0	163127296.0	45748224.0	228921344.0	2719416218.0	17348548905.0	157057.0	132478.0	2734085228.0	17348546570.0	1077993.0	1092.0	/scratch1/btsheal/work/9d/7a1c8449c1d49900a98877ebffc51d			SRX4317789	2.71752e+09
9677	3402979.pbs02	fastq_dump	SRX2932830	fastq_dump (SRX2932830)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630020672409	1630020686048	1630020746427	74018	61774		72.9	0.2	66662400.0	183242752.0	67518464.0	244338688.0	159371148.0	1715683743.0	2276.0	13208.0	174044515.0	1715681442.0	91495.0	674.0	/scratch1/btsheal/work/9d/7b40193a72ac6d66ae5c0f38d0bd3d			SRX2932830	156841874
6560	3398303.pbs02	fastq_dump	SRX1735005	fastq_dump (SRX1735005)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630008835159	1630008854685	1630009262887	427728	404729		50.2	0.2	64827392.0	182120448.0	64987136.0	245063680.0	2158524276.0	10201162294.0	16699.0	78652.0	2161892396.0	10201145728.0	97950.0	655.0	/scratch1/btsheal/work/9d/8039c8fe50e8a97c785512e0da9574			SRX1735005	2144823441
1744	3391623.pbs02	fastq_dump	SRX389824	fastq_dump (SRX389824)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629990423437	1629990434528	1629990550991	127554	118619		57.3	0.3	86827008.0	203829248.0	87453696.0	263274496.0	488522298.0	2788450688.0	2711.0	21393.0	503191323.0	2788448364.0	187224.0	2322.0	/scratch1/btsheal/work/9d/a639b72c42e52486aab8ec18d2aa44			SRX389824	485995986
888	3390314.pbs02	fastq_dump	DRX078170	fastq_dump (DRX078170)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629987175582	1629987232642	1629987502559	326977	263590		46.2	0.1	45252608.0	162881536.0	45387776.0	228806656.0	765193503.0	5480563870.0	46478.0	41932.0	779862724.0	5480561570.0	386920.0	1988.0	/scratch1/btsheal/work/9d/aed83133ac5bee742d931d118a1a5e			DRX078170	762858289
9273	3402444.pbs02	fastq_dump	SRX2629627	fastq_dump (SRX2629627)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630019125284	1630019137469	1630019534716	409432	389864		42.3	0.1	45461504.0	163229696.0	45469696.0	229466112.0	828804134.0	6490032494.0	83981.0	49634.0	843473145.0	6490030164.0	532375.0	7708.0	/scratch1/btsheal/work/9d/b3a3e9b57d60a843d953640abfe587			SRX2629627	826622121
9741	3403096.pbs02	fastq_dump	SRX1583535	fastq_dump (SRX1583535)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630020959929	1630020968267	1630021510698	550769	540385		54.0	0.2	71786496.0	188846080.0	72007680.0	247762944.0	2696599647.0	12195585813.0	7601.0	93163.0	2711268654.0	12195583480.0	763211.0	4886.0	/scratch1/btsheal/work/9d/cd32a289d30034900d7985d728e216			SRX1583535	2.6999e+09
