task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	fastq_lines	sample_id
9287	3402456.pbs02	fastq_merge	SRX2190972	fastq_merge (SRX2190972)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630019177065	1630019187862	1630019263228	86163	65484		5.7	0.0	8503296.0	20078592.0	8503296.0	20094976.0	1788197431.0	1192067720.0	38878.0	2299.0	1192527219.0	596033600.0	68140.0	1.0	/scratch1/btsheal/work/96/c6b7d47b6975582e4cf9c050336561			13493888	SRX2190972
8783	3401979.pbs02	fastq_merge	SRX2656646	fastq_merge (SRX2656646)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630017268322	1630017281914	1630017561874	293552	283834		20.6	0.0	8863744.0	20082688.0	8863744.0	20099072.0	26550699179.0	17700400527.0	574174.0	33789.0	17700859963.0	8850199972.0	932123.0	4.0	/scratch1/btsheal/work/96/f3b6450f12cb1ac00f9ddc673b77f9			105867760	SRX2656646
3047	3393428.pbs02	fastq_merge	SRX2551014	fastq_merge (SRX2551014)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629995459151	1629995468058	1629996003895	544744	535212		24.4	0.0	8753152.0	20082688.0	8753152.0	20099072.0	53740512285.0	35826939688.0	1161944.0	68367.0	35827398891.0	17913469436.0	2115127.0	23.0	/scratch1/btsheal/work/97/0cc3eb0cf5bdd8c8569baab2ed103f			218880336	SRX2551014
9880	3403385.pbs02	fastq_merge	SRX1640007	fastq_merge (SRX1640007)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630021744662	1630021766898	1630022178214	433552	412940		15.0	0.0	8613888.0	20082688.0	8613888.0	20099072.0	28316465091.0	18877577811.0	612342.0	36033.0	18878037251.0	9438788616.0	972459.0	10.0	/scratch1/btsheal/work/97/65b2f466c8968bc52b507d84917845			134192640	SRX1640007
4279	3395253.pbs02	fastq_merge	SRX1705057	fastq_merge (SRX1705057)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630000169919	1630000186636	1630000671991	502072	481660		8.1	0.0	8552448.0	20078592.0	8552448.0	20094976.0	17881921105.0	11921216829.0	386769.0	22763.0	11921680423.0	5960608154.0	725755.0	53.0	/scratch1/btsheal/work/97/815beb3f610bfae4355e7341953b39			72417380	SRX1705057
6429	3398175.pbs02	fastq_merge	SRX1418388	fastq_merge (SRX1418388)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630008359607	1630008377146	1630009639528	1279921	1254503		5.6	0.0	8572928.0	20082688.0	8572928.0	20099072.0	45899927112.0	30599885814.0	992440.0	58393.0	30600345251.0	15299942616.0	1581043.0	27.0	/scratch1/btsheal/work/98/13a8c555d03332c5397e8fbe974e6a			265324680	SRX1418388
7831	3400037.pbs02	fastq_merge	SRX2947142	fastq_merge (SRX2947142)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630013615240	1630013618687	1630013839600	224360	202683		8.3	0.0	8859648.0	20082688.0	8859648.0	20099072.0	10209960016.0	6806574412.0	220942.0	13009.0	6807033851.0	3403286916.0	322265.0	17.0	/scratch1/btsheal/work/98/63706f62ebf5640d834e6f00d3dda6			48399656	SRX2947142
6873	3398632.pbs02	fastq_merge	SRX2435472	fastq_merge (SRX2435472)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630010015915	1630010024670	1630010059544	43629	32402		13.1	0.0	8482816.0	20078592.0	8482816.0	20094976.0	2573602922.0	1715671385.0	55857.0	3299.0	1716130883.0	857835432.0	90865.0	4.0	/scratch1/btsheal/work/98/942aa973ba33c907146f741d21f847			14157140	SRX2435472
2781	3393179.pbs02	fastq_merge	SRX3394084	fastq_merge (SRX3394084)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629994409481	1629994411879	1629994748550	339069	323603		7.8	0.0	8675328.0	20078592.0	8675328.0	20094976.0	11131701916.0	7421070713.0	240854.0	14181.0	7421530211.0	3710535096.0	460028.0	85.0	/scratch1/btsheal/work/98/9c3411ac01f0291ab0819bb705c7e2			52931356	SRX3394084
1904	3391788.pbs02	fastq_merge	SRX1289324	fastq_merge (SRX1289324)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629991049652	1629991062371	1629991510285	460633	440107		5.8	0.0	8757248.0	20078592.0	8757248.0	20094976.0	18545659883.0	12363709369.0	401117.0	23607.0	12364168871.0	6181854426.0	879834.0	5.0	/scratch1/btsheal/work/98/ecf66f89d4921d2f4f1802bb2e1bf4			98870612	SRX1289324
985	3390803.pbs02	fastq_merge	ERX1659435	fastq_merge (ERX1659435)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629987598455	1629987607584	1629987869972	271517	261995		7.5	0.0	8835072.0	20082688.0	8835072.0	20099072.0	12359201259.0	8239401928.0	267400.0	15741.0	8239861371.0	4119700676.0	492156.0	18.0	/scratch1/btsheal/work/99/07f858bf7e2a46309f783a0d5c95b9			66256640	ERX1659435
2372	3392764.pbs02	fastq_merge	SRX3189201	fastq_merge (SRX3189201)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629992847308	1629992853613	1629992908617	61309	50500		15.8	0.0	8482816.0	20078592.0	8482816.0	20094976.0	5012726845.0	3341753989.0	108581.0	6399.0	3342213487.0	1670876734.0	210985.0	3.0	/scratch1/btsheal/work/9a/2ff0a4d9a267f9ffd7a6d27682f9de			27199688	SRX3189201
1911	3391795.pbs02	fastq_merge	SRX517465	fastq_merge (SRX517465)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629991080314	1629991087402	1629991414877	334563	327253		14.3	0.0	8912896.0	20082688.0	8912896.0	20099072.0	33003952979.0	22002569734.0	713670.0	41993.0	22003029176.0	11001284580.0	1257195.0	12.0	/scratch1/btsheal/work/9a/5bf8b01c2274c7eb35085ef85244af			123760376	SRX517465
998	3390814.pbs02	fastq_merge	ERX1104208	fastq_merge (ERX1104208)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629987640896	1629987652610	1629987957531	316635	298013		10.4	0.0	8597504.0	20078592.0	8597504.0	20094976.0	14311476193.0	9540920242.0	309588.0	18223.0	9541379743.0	4770459862.0	646692.0	717.0	/scratch1/btsheal/work/9a/8ea1f6842fd6e639336cd34ab07ce6			76382052	ERX1104208
1739	3391619.pbs02	fastq_merge	SRX2768417	fastq_merge (SRX2768417)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629990406048	1629990414378	1629990801280	395232	386368		20.3	0.0	8613888.0	20078592.0	8613888.0	20094976.0	38991782549.0	25994457808.0	843094.0	49607.0	25994921403.0	12997228644.0	1868345.0	22.0	/scratch1/btsheal/work/9a/b0abf766a01293facebe9a385786a6			183685536	SRX2768417
8869	3402060.pbs02	fastq_merge	SRX2248406	fastq_merge (SRX2248406)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630017581418	1630017602334	1630018193422	612004	579058		9.1	0.0	8806400.0	20082688.0	8806400.0	20099072.0	21562983119.0	14375256721.0	466353.0	27448.0	14375716103.0	7187628042.0	761993.0	123.0	/scratch1/btsheal/work/9a/c6f7e3534084c214dc5be447864a0a			82313812	SRX2248406
9723	3403059.pbs02	fastq_merge	SRX838162	fastq_merge (SRX838162)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630020853673	1630020866865	1630020993228	139555	127361		14.0	0.0	8540160.0	20078592.0	8540160.0	20094976.0	9629806502.0	6419807106.0	208387.0	12271.0	6420266608.0	3209903296.0	459767.0	18.0	/scratch1/btsheal/work/9a/e0406abf65b99074edccc0ca3c0b4e			38355076	SRX838162
7579	3399702.pbs02	fastq_merge	SRX058643	fastq_merge (SRX058643)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630012685725	1630012694318	1630012724170	38445	28701		19.1	0.0	8617984.0	20078592.0	8617984.0	20094976.0	2663019918.0	1775282701.0	57790.0	3413.0	1775742204.0	887641094.0	107012.0	1.0	/scratch1/btsheal/work/9a/f54f40b2d58801bc4e9a7871ce4015			19660200	SRX058643
5354	3396869.pbs02	fastq_merge	SRX2741554	fastq_merge (SRX2741554)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630004234480	1630004247005	1630004531407	296927	281681		20.6	0.0	8531968.0	20078592.0	8531968.0	20094976.0	26877223293.0	17918084966.0	581219.0	34203.0	17918544463.0	8959042222.0	1224389.0	59.0	/scratch1/btsheal/work/9a/fbfcd679d8ad22172e5010ade2a063			95039696	SRX2741554
9961	3403564.pbs02	fastq_merge	ERX2297603	fastq_merge (ERX2297603)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630023088295	1630023098692	1630027728080	4639785	4619374		20.0	0.0	8781824.0	20082688.0	8781824.0	20099072.0	469892254527.0	313261437430.0	10157720.0	597527.0	313261896867.0	156630718424.0	19053484.0	87.0	/scratch1/btsheal/work/9b/430a3b97aecfe63475503f721451a3			1710826000	ERX2297603
