task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
6619	1458860	read_sample_file	SRX465500.sample.csv	read_sample_file (SRX465500.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630008968892	1630008968974	1630008977340	8448	88		12.0	0.0	0.0	0.0	0.0	0.0	54994.0	259.0	124.0	13.0	301192.0	0.0	0.0	0.0	/scratch1/btsheal/work/d4/22b0c5880740f8f9658a2ee84a0a95		
5153	1421679	read_sample_file	SRX361919.sample.csv	read_sample_file (SRX361919.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630003266957	1630003272440	1630003283610	16653	29		45.5	0.0	0.0	0.0	0.0	0.0	54991.0	258.0	124.0	13.0	301192.0	0.0	0.0	0.0	/scratch1/btsheal/work/d4/2a9b35e4eba38405e51f38a192402f		
9367	1528830	read_sample_file	SRX1761520.sample.csv	read_sample_file (SRX1761520.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630019384297	1630019384366	1630019400934	16637	39		48.3	0.0	0.0	0.0	0.0	0.0	54998.0	260.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/d4/efe40e040985d59de663d337446b98		
7809	1490167	read_sample_file	SRX1618077.sample.csv	read_sample_file (SRX1618077.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630013466396	1630013466461	1630013488702	22306	5100		1.0	0.0	0.0	0.0	0.0	0.0	54995.0	259.0	125.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/d4/ffe997d72a175bcf9ba1346af81e39		
4309	1400299	read_sample_file	SRX347880.sample.csv	read_sample_file (SRX347880.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630000136190	1630000136259	1630000146664	10474	22		32.0	0.0	0.0	0.0	0.0	0.0	54991.0	258.0	124.0	13.0	301191.0	0.0	0.0	0.0	/scratch1/btsheal/work/d5/da20833f8b30bdc0b9bb24251d6180		
3908	1391022	read_sample_file	SRX4170093.sample.csv	read_sample_file (SRX4170093.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629998649152	1629998649234	1629998655760	6608	25		46.2	0.0	0.0	0.0	0.0	0.0	54994.0	259.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/d6/917114f6b1ab6c48b7de856b247576		
9245	1525704	read_sample_file	SRX4171173.sample.csv	read_sample_file (SRX4171173.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630018890983	1630018891053	1630018897286	6303	39		30.8	0.0	0.0	0.0	0.0	0.0	54997.0	260.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/d6/fe92ae8d6c6446917158e49367a9c7		
796	1310020	read_sample_file	DRX088943.sample.csv	read_sample_file (DRX088943.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629986960466	1629986960570	1629986961556	1090	37		35.7	0.0	0.0	0.0	0.0	0.0	54989.0	258.0	124.0	13.0	301191.0	0.0	0.0	0.0	/scratch1/btsheal/work/d7/652f7bf037ada42a884f87d2b28a4f		
6789	1463893	read_sample_file	SRX705991.sample.csv	read_sample_file (SRX705991.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630009594754	1630009594836	1630009595849	1095	29		38.5	0.0	0.0	0.0	0.0	0.0	54994.0	259.0	124.0	13.0	301192.0	0.0	0.0	0.0	/scratch1/btsheal/work/d7/68cfa6a011162a4d0ced6a8ada86e3		
807	1310390	read_sample_file	DRX099520.sample.csv	read_sample_file (DRX099520.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629986971472	1629986971535	1629986972921	1449	31		41.7	0.0	0.0	0.0	0.0	0.0	54990.0	258.0	124.0	13.0	301191.0	0.0	0.0	0.0	/scratch1/btsheal/work/d7/9d3e65dc7da32ed9a3d590ca544341		
2642	1358088	read_sample_file	SRX2519597.sample.csv	read_sample_file (SRX2519597.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629993755100	1629993755177	1629993763927	8827	32		28.6	0.0	0.0	0.0	0.0	0.0	54993.0	259.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/d7/ee71af0069e76fe2de0df4f3bdc345		
1559	1330031	read_sample_file	SRX479315.sample.csv	read_sample_file (SRX479315.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629989543473	1629989543554	1629989544610	1137	35		44.4	0.0	0.0	0.0	0.0	0.0	54999.0	269.0	124.0	13.0	301203.0	0.0	0.0	0.0	/scratch1/btsheal/work/d8/0cedc7b42c8739b3cf8088de470a96		
8375	1503425	read_sample_file	SRX1424795.sample.csv	read_sample_file (SRX1424795.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630015543281	1630015543338	1630015553771	10490	25		40.0	0.0	0.0	0.0	0.0	0.0	54995.0	259.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/d8/0eae5804019eb4c3a139111f5c2872		
9110	1522387	read_sample_file	SRX2568304.sample.csv	read_sample_file (SRX2568304.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630018388705	1630018388739	1630018396676	7971	36		6.5	0.0	0.0	0.0	0.0	0.0	54995.0	258.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/d8/5bb91fd2c0d8ce9e95ffd846d09cb0		
