task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	n_remote_run_ids	n_spots	sample_id
9531	3402734.pbs02	download_runs	SRX1583535	download_runs (SRX1583535)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630020114333	1630020127644	1630020779360	665027	651618		5.8	0.2	61964288.0	116711424.0	61964288.0	116727808.0	2722251872.0	2699904152.0	382469.0	5387.0	41709619.0	2699898466.0	147398.0	283.0	/scratch1/btsheal/work/d7/f4fb56994490472fa73060937e3f2e			1	52491007	SRX1583535
4400	3395359.pbs02	download_runs	SRX2480806	download_runs (SRX2480806)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630000612748	1630000620532	1630000682048	69300	57890		6.6	0.1	43708416.0	91262976.0	43708416.0	91279360.0	120781122.0	103026399.0	19318.0	434.0	41711115.0	103020722.0	7677.0	194.0	/scratch1/btsheal/work/d9/15af5dcfbcb19d441f2d1b0dcbf9d9			1	680493	SRX2480806
8770	3401966.pbs02	download_runs	SRX1604116	download_runs (SRX1604116)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630017221864	1630017234891	1630017314892	93028	76648		5.3	0.1	50794496.0	105209856.0	50794496.0	105226240.0	125951594.0	108189532.0	18803.0	444.0	41711634.0	108183853.0	24102.0	355.0	/scratch1/btsheal/work/d9/6e577e2cc1a2281e21b452c4963492			1	2207090	SRX1604116
833	3390078.pbs02	download_runs	DRX078170	download_runs (DRX078170)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629986932588	1629986939428	1629987058678	126090	115058		10.5	0.2	58585088.0	112627712.0	58585088.0	112644096.0	781768939.0	762863954.0	105875.0	1693.0	41728711.0	762858291.0	43666.0	269.0	/scratch1/btsheal/work/d9/8441343719a5c58d99ea6c44f18bb9			1	9802590	DRX078170
7243	3399134.pbs02	download_runs	SRX2219910	download_runs (SRX2219910)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630011435328	1630011450312	1630011833811	398483	377669		3.1	0.2	58580992.0	112611328.0	58580992.0	112627712.0	1676670603.0	1656112903.0	258855.0	3396.0	41709753.0	1656107221.0	110028.0	194.0	/scratch1/btsheal/work/d9/e1930913394c532c459ab1970ef512			1	13195287	SRX2219910
8553	3401762.pbs02	download_runs	SRX2348515	download_runs (SRX2348515)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630016384880	1630016395604	1630016692535	307655	295940		7.6	0.2	54452224.0	107212800.0	54452224.0	107229184.0	1699570277.0	1678946009.0	232008.0	3440.0	41709734.0	1678940327.0	96890.0	198.0	/scratch1/btsheal/work/da/3f2ba22e1a1f1abc8af5944857c24e			1	15873138	SRX2348515
5243	3396740.pbs02	download_runs	SRX2248481	download_runs (SRX2248481)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630003777784	1630003789555	1630004226918	449134	429622		2.5	0.1	50810880.0	105209856.0	50810880.0	105226240.0	1455239408.0	1435122254.0	219925.0	2975.0	41710618.0	1435116572.0	110330.0	194.0	/scratch1/btsheal/work/da/bae23d3cc917cb25c4d59177399d8c			1	21437740	SRX2248481
3834	3394711.pbs02	download_runs	SRX3203982	download_runs (SRX3203982)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629998453074	1629998463614	1629998934958	481884	465644		7.8	0.1	50716672.0	105209856.0	50716672.0	105226240.0	2754324239.0	2731941620.0	365432.0	5448.0	41708763.0	2731935938.0	151759.0	1886.0	/scratch1/btsheal/work/da/f2198d9a5592f35f948e742485eb91			1	22576291	SRX3203982
5402	3396919.pbs02	download_runs	SRX950682	download_runs (SRX950682)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630004395766	1630004407424	1630004786125	390359	374019		8.2	0.2	60993536.0	115556352.0	60993536.0	115572736.0	2347428292.0	2325720359.0	307928.0	4673.0	41709237.0	2325714674.0	118424.0	202.0	/scratch1/btsheal/work/db/5a088e55f532cfd8a3b24635d8773f			1	17998985	SRX950682
5867	3397397.pbs02	download_runs	SRX4337311	download_runs (SRX4337311)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630006208527	1630006218798	1630006888187	679660	668078		3.8	0.2	59330560.0	113496064.0	59330560.0	113512448.0	1883886199.0	1863019900.0	259190.0	3791.0	41708649.0	1863014214.0	111451.0	416.0	/scratch1/btsheal/work/db/5e33377386033a1e56e8698134e446			1	41780296	SRX4337311
