task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	fastq_lines	index_bytes	sample_id
3991	3394885.pbs02	kallisto	SRX1734814	kallisto (SRX1734814)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1629999054049	1629999060618	1629999096101	42052	35670		166.1	3.5	1782276096.0	2219028480.0	1782276096.0	2219061248.0	11287670855.0	3440091842.0	545301.0	55015.0	6883207613.0	2136039.0	258333.0	52.0	/scratch1/btsheal/work/4c/acdbba5ee5e50437103a1aeed07caa			36941872	973695034	SRX1734814
4035	3394925.pbs02	kallisto	SRX4171027	kallisto (SRX4171027)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1629999217653	1629999221958	1629999237879	20226	12366		119.1	3.5	1794899968.0	2222174208.0	1794899968.0	2222206976.0	1743710474.0	258490173.0	150889.0	48947.0	520567361.0	1854498.0	1198.0	44.0	/scratch1/btsheal/work/4c/ba5ba9ce070e55af418054b18d39e5			4124800	973695034	SRX4171027
9449	3402624.pbs02	kallisto	SRX1734629	kallisto (SRX1734629)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630019816800	1630019830053	1630020052554	235754	224825		75.5	3.5	1783091200.0	2219028480.0	1783091200.0	2219061248.0	26549794470.0	8527560720.0	1176022.0	64718.0	17057957097.0	2230178.0	650158.0	50.0	/scratch1/btsheal/work/4c/bb7bc644f0f432acd646a2d4f908be			100084172	973695034	SRX1734629
2021	3392417.pbs02	kallisto	SRX1734641	kallisto (SRX1734641)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1629991510709	1629991520523	1629991836669	325960	318677		43.7	3.5	1787101184.0	2219028480.0	1787101184.0	2219061248.0	20653130192.0	6561967338.0	932337.0	60969.0	13126847573.0	2191560.0	515821.0	50.0	/scratch1/btsheal/work/4d/7ccbc301fe8e3948f51dcbe3982331			76944212	973695034	SRX1734641
8451	3401665.pbs02	kallisto	SRX647451	kallisto (SRX647451)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630016007054	1630016011903	1630016096853	89799	80182		137.9	0.7	1784446976.0	2219028480.0	1784446976.0	2219061248.0	31636110203.0	10222995544.0	1386218.0	67952.0	20448833726.0	2226689.0	759620.0	50.0	/scratch1/btsheal/work/4e/941c47994d3075eca41aa23f531d9c			116732816	973695034	SRX647451
4019	3394912.pbs02	kallisto	SRX3412593	kallisto (SRX3412593)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1629999166136	1629999171895	1629999273021	106885	99764		148.1	3.5	1783529472.0	2215858176.0	1783529472.0	2215890944.0	38294573824.0	12442688627.0	1661389.0	72188.0	24887809578.0	2431846.0	834870.0	59.0	/scratch1/btsheal/work/4f/3e9000f2f84c8d2b80d042867fdbdc			216019816	973695034	SRX3412593
8353	3401579.pbs02	kallisto	SRX1126049	kallisto (SRX1126049)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630015631261	1630015638689	1630015720399	89138	81870		161.9	0.7	1795022848.0	2222174208.0	1795022848.0	2222206976.0	34299132889.0	11110710646.0	1496270.0	69645.0	22224182173.0	2267569.0	747511.0	93.0	/scratch1/btsheal/work/4f/a8d57a42e988e78e7309ad25483d30			181741152	973695034	SRX1126049
7911	3400125.pbs02	kallisto	SRX2770570	kallisto (SRX2770570)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630013975043	1630013979338	1630014131889	156846	151663		142.8	0.7	1779412992.0	2215858176.0	1779412992.0	2215890944.0	61667795698.0	20233757347.0	2627309.0	87050.0	40469957386.0	2426673.0	1482832.0	71.0	/scratch1/btsheal/work/4f/d2ebfafb650ad016d5f3cfb73502fd			211668992	973695034	SRX2770570
3807	3394680.pbs02	kallisto	SRX2628405	kallisto (SRX2628405)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1629998344275	1629998353433	1629998417457	73182	65934		158.3	3.5	1779023872.0	2215858176.0	1779023872.0	2215890944.0	23651462931.0	7561602410.0	1056251.0	62880.0	15125735642.0	2382600.0	525047.0	47.0	/scratch1/btsheal/work/4f/ea7b66ad568067541b328d01f4e8c7			91594160	973695034	SRX2628405
6084	3397827.pbs02	kallisto	SRX4170017	kallisto (SRX4170017)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630007048692	1630007063044	1630007090617	41925	25955		92.5	3.5	1794654208.0	2222174208.0	1794654208.0	2222206976.0	2633766995.0	555335789.0	187671.0	49513.0	1113938785.0	2014408.0	35086.0	42.0	/scratch1/btsheal/work/50/423acc6154123b07069392fb5475f4			8853580	973695034	SRX4170017
